city;region;venues
TRINIDAD;CO;2
VICTOR;CO;1
HONOLULU;HI;2
ANACONDA;MT;2
BIG TIMBER;MT;1
BILLINGS;MT;1
BISMARK;MT;1
BOZEMAN;MT;1
BUTTE;MT;5
CHINOOK;MT;1
DEER LODGE;MT;1
DILLON;MT;1
GLASGOW;MT;1
GLENDIVE;MT;1
GREAT FALLS;MT;2
HAMILTON;MT;1
HARLEM;MT;1
HAVRE;MT;1
HELENA;MT;1
LEWISTON;MT;1
LIMA;MT;1
LIVINGSTON;MT;1
MALTA;MT;1
MILES;MT;1
MISSOULA;MT;1
PHILLIPSBURG;MT;1
CARSON CITY;NV;1
EUREKA;NV;1
GOLDFIELD;NV;1
RENO;NV;2
TONOPAH;NV;1
VIRGINIA CITY;NV;1
ALBUQUERQUE;NM;1
CARLSBAD;NM;1
DEMING;NM;1
EAST LAS VEGAS;NM;1
GALLUP;NM;1
LAS CRUCES;NM;1
LAS VEGAS;NM;1
RATON;NM;1
ROSWELL;NM;2
SANTA FE;NM;1
SILVER CITY;NM;2
SOCORRO;NM;1
SPRINGER;NM;1
TEXICO;NM;1
ALBANY;OR;1
ASHLAND;OR;1
ASTORIA;OR;1
BAKER CITY;OR;1
BANDON;OR;1
CORVALLIS;OR;1
COQUILLE;OR;1
EUGENE;OR;1
GOLD HILL;OR;1
GRANTS PASS;OR;1
HILLSBORO;OR;1
HUNTINGTON;OR;1
LAFAYETTE;OR;1
LA GRANDE;OR;1
LAKEVIEW;OR;1
COOS BAY;OR;1
MEDFORD;OR;1
MYRTLE POINT;OR;1
NORTH BEND;OR;1
ONTARIO;OR;1
OREGON CITY;OR;1
PENDLETON;OR;1
PORTLAND;OR;10
HIGH;OR;1
RIDDLES;OR;1
ROSEBURG;OR;1
SALEM;OR;1
SILVERTON;OR;1
THE DALLES;OR;1
AMERICAN FORK;UT;1
BINGHAM CANYON;UT;1
BOUNTIFUL;UT;1
BRIGHAM;UT;1
DRAPER;UT;1
ELSINORE;UT;1
EPHRAIM;UT;1
EUREKA;UT;1
FAIRVIEW;UT;1
FARMINGTON;UT;1
GRANTVILLE;UT;1
GREEN RIVER;UT;1
KAYSVILLE;UT;1
LEHI;UT;1
LOGAN;UT;1
MAMMOTH;UT;1
MANTI;UT;1
MENDON;UT;1
MERCUR;UT;1
MORONI;UT;1
MT. PLEASANT;UT;1
MURRAY;UT;1
NEPHI;UT;1
OGDEN;UT;2
PARK CITY;UT;1
PAYSON;UT;1
PLEASANT GROVE;UT;1
PROVO;UT;1
RICHFIELD;UT;1
RICHMOND;UT;1
SALINA;UT;1
SALT LAKE;UT;4
SANDY;UT;1
SMITHFIELD;UT;1
SPANISH FORK;UT;1
SPRING CITY;UT;1
SPRINGVILLE;UT;1
TOOELE;UT;1
WILLARD;UT;1
ABERDEEN;WA;1
ANACORTES;WA;1
BELLINGHAM;WA;4
BLAINE;WA;1
CASTLE ROCK;WA;1
CENTRALIA;WA;1
CHEHALIS;WA;2
COLFAX;WA;1
DAVENPORT;WA;1
DAYTON;WA;1
ELLENSBURG;WA;1
EVERETT;WA;2
HOQUIAM;WA;1
MOUNT VERNON;WA;1
NORTH YAKIMA;WA;1
OLYMPIA;WA;1
PORT ANGELES;WA;1
PORT TOWNSEND;WA;1
PULLMAN;WA;1
PUYALLUP;WA;1
RITZVILLE;WA;1
ROSLYN;WA;1
SEATTLE;WA;11
SEDRO WOOLLEY;WA;1
SNOHOMISH;WA;1
SOUTH BEND;WA;1
SPOKANE;WA;5
TACOMA;WA;4
VANCOUVER;WA;1
WALLA WALLA;WA;1
WENATCHEE;WA;1
